,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_IS_NO,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
2301,0,0,1,0,8,1,1,0,0,0,1,0,1,1,90.25,743.75,0,False,True,False,True,False,False,False,False,True,False
6926,0,0,0,0,56,1,0,0,1,0,0,0,0,1,73.85,4092.85,1,False,True,False,True,False,False,False,False,True,False
3174,1,0,1,0,58,0,0,0,0,0,0,1,1,1,45.0,2689.35,0,True,False,False,False,True,False,False,True,False,False
5850,1,1,0,0,20,1,0,0,0,0,0,0,0,0,71.3,1389.2,1,False,True,False,True,False,False,False,True,False,False
2574,1,1,0,0,39,1,1,0,0,0,0,1,1,1,95.65,3759.05,1,False,True,False,True,False,False,True,False,False,False
6218,0,0,1,1,70,0,0,0,1,1,1,1,1,1,58.4,4113.15,0,True,False,False,False,True,False,True,False,False,False
3031,0,1,1,0,50,1,0,0,0,0,0,0,0,1,71.05,3444.85,1,False,True,False,True,False,False,False,False,True,False
4546,0,0,1,1,12,1,1,0,1,1,0,0,0,1,84.5,916.9,1,False,True,False,True,False,False,False,False,True,False
3840,1,1,1,0,64,1,1,0,0,0,0,0,0,0,25.65,1740.8,0,False,False,True,False,False,True,False,True,False,False
2012,0,0,1,0,47,1,1,1,1,1,0,1,0,1,98.75,4533.7,1,False,True,False,True,False,False,False,False,True,False
6065,1,0,0,0,59,1,1,0,0,0,0,0,0,0,25.0,1510.5,0,False,False,True,False,False,True,False,False,False,True
5330,1,1,1,0,10,1,0,0,1,1,1,1,0,1,92.5,934.1,1,False,True,False,True,False,False,False,False,False,True
2776,1,1,1,0,16,1,0,0,1,0,0,0,0,1,74.3,1178.25,1,False,True,False,True,False,False,False,True,False,False
1209,1,0,1,0,56,1,1,1,1,1,0,0,0,1,93.15,5253.95,0,False,True,False,False,True,False,False,False,True,False
724,1,1,1,0,33,1,1,0,0,0,0,1,1,1,94.5,3105.55,1,False,True,False,True,False,False,False,False,True,False
72,1,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,0,False,True,False,False,False,True,True,False,False,False
4398,1,0,1,1,70,1,1,1,0,1,0,1,0,0,68.95,4858.7,0,True,False,False,False,False,True,False,True,False,False
2087,0,0,0,0,4,0,0,1,1,0,0,0,0,1,33.65,137.85,1,True,False,False,True,False,False,False,False,True,False
2862,1,0,1,0,7,1,0,0,0,0,0,0,0,1,69.35,451.1,1,False,True,False,True,False,False,False,False,True,False
2224,1,1,1,0,17,1,0,0,1,0,0,0,0,1,76.45,1233.4,1,False,True,False,True,False,False,False,False,True,False
2409,1,0,1,1,28,0,0,0,1,1,1,1,1,1,60.0,1682.05,0,True,False,False,False,True,False,False,True,False,False
2130,1,0,0,0,51,1,1,1,1,0,0,1,0,1,94.8,4837.6,1,False,True,False,False,True,False,False,False,True,False
5843,1,1,1,0,35,1,1,0,0,1,0,0,0,1,81.6,2815.25,0,False,True,False,False,True,False,True,False,False,False
4984,0,0,0,0,42,1,0,1,1,1,0,0,0,0,59.65,2536.55,0,True,False,False,True,False,False,True,False,False,False
89,1,0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,0,True,False,False,True,False,False,False,False,False,True
3917,1,1,0,0,1,1,0,0,0,0,0,0,0,0,69.1,69.1,1,False,True,False,True,False,False,False,False,True,False
2431,1,1,0,0,2,0,0,0,0,0,0,0,0,1,24.45,47.5,1,True,False,False,True,False,False,False,False,False,True
168,1,1,1,0,58,0,0,0,1,1,0,0,1,1,45.3,2651.2,1,True,False,False,True,False,False,False,False,True,False
512,0,1,1,0,5,1,1,0,0,0,0,0,0,1,74.35,334.8,1,False,True,False,True,False,False,False,False,True,False
873,0,0,0,0,60,0,0,0,1,0,0,1,1,1,50.8,3027.4,1,True,False,False,True,False,False,False,False,True,False
674,1,1,0,0,52,0,0,0,1,0,0,1,1,1,49.15,2550.9,1,True,False,False,True,False,False,False,False,True,False
1026,1,1,0,0,8,1,1,0,0,1,0,1,1,1,100.6,819.4,1,False,True,False,True,False,False,False,False,True,False
973,1,1,1,0,44,0,0,0,1,0,0,0,0,1,30.35,1359.7,1,True,False,False,True,False,False,False,False,True,False
5967,1,1,0,0,4,0,0,0,0,0,0,0,0,1,25.2,102.5,1,True,False,False,True,False,False,True,False,False,False
6646,1,0,1,1,51,1,0,0,0,0,0,0,0,0,19.4,997.75,0,False,False,True,False,True,False,False,False,False,True
6864,0,1,0,0,3,0,0,0,0,0,0,0,0,0,25.3,77.75,1,True,False,False,True,False,False,False,False,True,False
2399,0,0,1,0,12,0,0,0,0,1,0,1,1,1,49.85,617.15,0,True,False,False,True,False,False,True,False,False,False
5750,0,1,1,0,13,1,0,0,0,0,0,0,0,1,70.15,916.75,1,False,True,False,True,False,False,False,False,True,False
4174,0,0,0,0,37,0,0,0,0,0,1,0,0,0,28.6,973.55,1,True,False,False,True,False,False,False,True,False,False
1898,0,1,0,0,5,1,0,0,0,0,0,0,1,0,78.95,378.4,1,False,True,False,True,False,False,False,False,True,False
585,0,1,0,0,1,1,1,0,0,0,0,1,0,1,85.7,85.7,1,False,True,False,True,False,False,False,False,True,False
6937,0,0,0,0,28,0,0,0,0,1,1,0,0,1,35.75,961.4,0,True,False,False,True,False,False,False,False,False,True
6021,0,0,1,1,13,1,0,0,0,0,0,0,0,1,20.45,254.5,0,False,False,True,True,False,False,False,False,False,True
5894,1,0,0,0,45,1,1,0,1,0,0,1,1,1,100.85,4740.0,1,False,True,False,True,False,False,False,True,False,False
6594,1,0,0,0,14,1,0,0,0,0,0,0,0,1,20.05,299.3,0,False,False,True,True,False,False,False,False,True,False
7025,0,0,0,0,18,1,1,0,0,1,1,0,1,1,95.05,1679.4,0,False,True,False,True,False,False,True,False,False,False
4935,1,1,1,0,45,1,1,0,0,0,0,0,0,0,24.7,1174.35,0,False,False,True,False,True,False,False,True,False,False
2706,1,0,1,0,2,1,0,0,0,1,0,0,0,0,76.4,151.8,1,False,True,False,True,False,False,False,False,True,False
5783,0,1,0,0,1,1,0,0,0,0,0,1,1,1,89.3,89.3,1,False,True,False,True,False,False,False,False,True,False
20,1,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,True,False,False,True,False,False,False,False,True,False
1122,0,0,0,0,19,0,0,0,0,0,0,1,1,1,44.85,893.55,1,True,False,False,False,True,False,False,True,False,False
